parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/ما-هي-أسماء-الإشارة/,https://weziwezi.com/index.php?title=url/&action=edit&redlink=1,المثنى,internal,404
https://weziwezi.com/ما-هي-أسماء-الإشارة/,http://shamela.ws/browse.php/book-36954/page-143,أسماء الإشارة للأماكن,external,404
https://weziwezi.com/أحداث-معركة-فيينا/,http://shamela.ws/browse.php/book-95543/page-3423,السلطان العثماني (سليمان القانوني) يحاصر (فيينا) عاصمة النمسا,external,404
https://weziwezi.com/كيفية-التمييز-بين-الفعل-اللازم-والمتعدي/,http://shamela.ws/browse.php/book-10641/page-888#page-889,النحو الوافي,external,404
https://weziwezi.com/أحداث-غزوة-ذي-أمر/,http://shamela.ws/browse.php/book-23833/page-783,غزوة ذي أمر،,external,404
https://weziwezi.com/كيفية-صناعة-الورق/,https://weziwezi.com/index.php?title=%D9%84%D9%85%D8%A7%D8%B0%D8%A7-%22%D9%86%D8%AF%D9%82-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%AE%D8%B4%D8%A8%22-%D8%9F/&action=edit&redlink=1,الخشب بمساعدة,internal,404
https://weziwezi.com/ما-هي-أسماء-الإشارة/,http://shamela.ws/browse.php/book-3284/page-122,جامع الدروس العربية,external,404
https://weziwezi.com/أسماء-الإشارة-للبعيد-في-اللغة-العربية/,http://shamela.ws/browse.php/book-3284/page-122,جامع الدروس العربية,external,404
https://weziwezi.com/طريقة-زراعة-القرنفل/,http://balconygardenweb.com/how-to-grow-cloves-cultivation-and-growing-cloves/,1 ,external,403
https://weziwezi.com/أحداث-غزوة-ذي-أمر/,http://shamela.ws/browse.php/book-23833/page-783,غزوة ذي أمر،,external,404
https://weziwezi.com/علامات-إعراب-الفعل-المضارع/,http://shamela.ws/browse.php/book-36106/page-90,الشرح المختصر على نظم الآجرومية,external,404
https://weziwezi.com/المفاعيل-الخمسة-وإعرابها/,http://shamela.ws/browse.php/book-17673/page-244,المفعول فيه,external,404
https://weziwezi.com/النواسخ_في_اللغة_العربية,http://shamela.ws/browse.php/book-259/page-22,مجاني الأدب في حدائق العرب,external,404
https://weziwezi.com/علامات-الوقف-في-اللغة-العربية/,http://shamela.ws/browse.php/book-433/page-459,موسوعة المفاهيم الإسلامية العامة، علامات الترقيم,external,404
https://weziwezi.com/الفرق-بين-الاسم-المتمكن-وغير-المتمكن/,http://shamela.ws/browse.php/book-9976/page-35,الأسماء المتمكنة وغير المتمكنة,external,404
