parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/الفرق-بين-الرؤيا-والحلم/,https://weziwezi.com/index.php?title=%D8%A7%D9%84%D8%A5%D8%B9%D8%AC%D8%A7%D8%B2-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A-3/&action=edit&redlink=1,إبراهيم عليه,internal,404
https://weziwezi.com/ما-حكم-من-أفطر-قبل-الأذان-بدقائق/,https://binbaz.org.sa/old/28611,وجوب الأمر بالمعروف والنهي عن المنكر,external,404
https://weziwezi.com/من-فتح-الصين/,http://shamela.ws/browse.php/book-9783/page-3580,تاريخ الطبري,external,404
https://weziwezi.com/الإعجاز-العلمي-في-طي-السماء/,https://weziwezi.com/index.php?title=%D9%85%D9%88%D8%B6%D9%88%D8%B9-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%B9%D9%86-%D8%A7%D9%84%D9%86%D8%A8%D9%8A-%D9%85%D8%AD%D9%85%D8%AF-%D8%B9%D9%84%D9%8A%D9%87-%D8%A7%D9%84%D8%B5%D9%84%D8%A7%D8%A9-%D9%88%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85-/&action=edit&redlink=1,محمد -عليه الصلاة والسلام-,internal,404
https://weziwezi.com/قصة-يوسف-عليه-السلام/,http://shamela.ws/browse.php/book-36095/page-28,من عجائب الدعاء - الجزء الأول,external,404
https://weziwezi.com/مناسك-الحج-بالتفصيل/,https://binbaz.org.sa/old/29903,شرح مناسك الحج,external,404
https://weziwezi.com/الفرق-بين-الأشاعرة-والماتريدية/,https://binbaz.org.sa/old/28455,هل الأشاعرة من أهل السنة؟,external,404
https://weziwezi.com/الإعجاز-العلمي-في-والسماء-بنيناها-بأيد-وإنا-لموسعون/,https://weziwezi.com/index.php?title=%D9%85%D9%86-%D9%87%D9%88-%D8%AC%D8%A8%D8%B1%D9%8A%D9%84-%D8%B9%D9%84%D9%8A%D9%87-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85-/&action=edit&redlink=1,جبريل -عليه السلام-,internal,404
https://weziwezi.com/تعريف-الزواج-في-الإسلام/,http://shamela.ws/browse.php/book-12152/page-6#page-6,مقدمات النكاح،,external,404
https://weziwezi.com/ما-هي-عقوبة-الزاني/,http://shamela.ws/browse.php/book-11430/page-14467,الموسوعة الفقهية الكويتية,external,404
https://weziwezi.com/قصة-قوم-لوط/,http://shamela.ws/browse.php/book-932/page-271,قصص الأنبياء,external,404
https://weziwezi.com/قصة-موسى-عليه-السلام/,http://shamela.ws/browse.php/book-932/page-417,قصص الأنبياء,external,404
https://weziwezi.com/الإعجاز-العلمي-في-عمد-السماء/,https://weziwezi.com/index.php?title=%D9%85%D9%88%D8%B6%D9%88%D8%B9-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%B9%D9%86-%D8%A7%D9%84%D9%86%D8%A8%D9%8A-%D9%85%D8%AD%D9%85%D8%AF-%D8%B9%D9%84%D9%8A%D9%87-%D8%A7%D9%84%D8%B5%D9%84%D8%A7%D8%A9-%D9%88%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85-/&action=edit&redlink=1,رسالة محمد -عليه الصلاة والسلام-,internal,404
https://weziwezi.com/تعريف-الحديث-النبوي/,https://binbaz.org.sa/old/29840,الحديث القدسي,external,404
https://weziwezi.com/تعريف-الفتوحات-الإسلامية/,http://shamela.ws/browse.php/book-9268/page-114#page-115,الهجمات المغرضة على التاريخ الإسلامي،,external,404
https://weziwezi.com/الإعجاز-العلمي-في-الله-نور-السماوات-والأرض/,https://weziwezi.com/index.php?title=%D9%85%D9%86-%D9%87%D9%88-%D8%AC%D8%A8%D8%B1%D9%8A%D9%84-%D8%B9%D9%84%D9%8A%D9%87-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85-/&action=edit&redlink=1,جبريل,internal,404
https://weziwezi.com/قصة-وفاة-أبي-بكر-الصديق/,http://shamela.ws/browse.php/book-11997/page-68,تاريخ الخلفاء,external,404
https://weziwezi.com/من-هي-رملة-بنت-أبي-سفيان/,http://shamela.ws/browse.php/book-23687/page-111,نساء النبي صلى الله عليه وآله وسلم،,external,404
https://weziwezi.com/فضل-ذكر-الله/,https://weziwezi.com/index.php?title=%D8%A3%D8%AF%D8%B9%D9%8A%D8%A9-%D9%88-%D8%A3%D8%B0%D9%83%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%A1/&action=edit&redlink=1,أذكار الصباح والمساء,internal,404
https://weziwezi.com/ما-هو-الميسر/,https://binbaz.org.sa/old/38788,التحذير من القمار وهو الميسر،,external,404
https://weziwezi.com/أجمل-دعاء-إلى-الله/,http://shamela.ws/browse.php/book-30900#page-14,الدعاء من الكتاب والسنة,external,404
https://weziwezi.com/حكم-زواج-المتعة/,https://binbaz.org.sa/old/38280,متعة النساء,external,404
https://weziwezi.com/أخلاق-الشخصية-المحمدية/,http://shamela.ws/browse.php/book-12024/page-268,شرح الكافية الشافية,external,404
https://weziwezi.com/ما-هي-شروط-العقيقة/,https://weziwezi.com/index.php?title=%D9%85%D8%B8%D8%A7%D9%87%D8%B1_%D8%B9%D9%82%D9%88%D9%82_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86&action=edit&redlink=1,"مظاهر عقوق الوالدين
",internal,404
https://weziwezi.com/ما-هي-خطوات-الحج-بالترتيب/,https://binbaz.org.sa/old/29903,شرح مناسك الحج،,external,404
https://weziwezi.com/دعاء-الاستفتاح/,https://weziwezi.com/index.php?title=%D8%A7%D9%84%D9%85%D9%84%D9%83-%D8%A5%D8%B3%D8%B1%D8%A7%D9%81%D9%8A%D9%84-%D8%B9%D9%84%D9%8A%D9%87-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85-/&action=edit&redlink=1,جبريل وإسرافيل,internal,404
https://weziwezi.com/قصة-السيدة-مريم-العذراء/,https://weziwezi.com/index.php?title=%D9%85%D9%86-%D9%87%D9%88-%D8%AC%D8%A8%D8%B1%D9%8A%D9%84-%D8%B9%D9%84%D9%8A%D9%87-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85-/&action=edit&redlink=1,جبريل,internal,404
https://weziwezi.com/حكم-البخور-في-رمضان/,https://binbaz.org.sa/old/70441,فضل صيام رمضان وقيامه مع بيان أحكام مهمة قد تخفى على بعض الناس,external,404
https://weziwezi.com/حكم-الزواج-بنية-الطلاق/,https://weziwezi.com/index.php?title=%D9%81%D9%88%D8%A7%D8%A6%D8%AF_%D8%A7%D9%84%D8%B2%D9%88%D8%A7%D8%AC&action=edit&redlink=1,الزواج,internal,404
