parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/ألوان_الطيف_الشمسي,https://www.universetoday.com/60065/radiation-from-the-sun/,"""Radiation from the Sun""",external,503
https://weziwezi.com/كيف_يتم_إنتاج_غاز_الهيدروجين_من_الألمنيوم,https://www.sciencedirect.com/science/article/pii/S0360319916316214,"""Hydrogen production by reaction of aluminum with water""",external,403
https://weziwezi.com/فوائد_استخدام_الطاقة_الشمسية_في_المنازل,http://stanford.edu/,http://stanford.edu/,external,403
https://weziwezi.com/معلومات-عن-كوكب-الزهرة/,https://www.livescience.com/14676-greatest-mysteries-venus-cosmos-universe.html,"""The Greatest Mysteries of Venus""",external,403
https://weziwezi.com/أسباب-ثقب-طبقة-الأوزون/,https://weziwezi.com/index.php?title=%D8%AA%D8%B9%D8%B1%D9%8A-%D8%A7%D9%84%D8%BA%D9%84%D8%A7%D9%81-%D8%A7%D9%84%D8%AC%D9%88%D9%8A/&action=edit&redlink=1,الغلاف الجوي,internal,404
https://weziwezi.com/معلومات_عن_علم_الطاقة_والجذب,https://www.coursehero.com/file/18136200/law-of-attraction/,"""law of attraction - We are powerful manifesting machines...""",external,403
https://weziwezi.com/إيجابيات_أنظمة_الطاقة_الشمسية_للمنازل,https://www.universetoday.com/73693/what-is-solar-energy/,"""What Is Solar Energy""",external,503
https://weziwezi.com/ما-هي-مجرة-درب-التبانة-؟/,https://weziwezi.com/index.php?title=%D8%A7%D9%84%D8%A5%D8%B9%D8%AC%D8%A7%D8%B2-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D9%85%D8%A7%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%B3%D8%A8%D8%B9-%D9%88%D8%A7%D9%84%D8%A3%D8%B1%D8%B6%D9%8A%D9%86-%D8%A7%D9%84%D8%B3%D8%A8%D8%B9-%D9%81%D9%8A-%D8%B4%D8%B1%D9%88%D9%82-%D8%A7%D9%84%D8%B4%D9%85%D8%B3-%D9%85%D9%86-%D9%85%D8%BA%D8%B1%D8%A8%D9%87%D8%A7/&action=edit&redlink=1,الشمس والأرض,internal,404
https://weziwezi.com/ظاهرة_الكهوف_البحرية,https://www.livescience.com/56333-worlds-deepest-underwater-cave-discovered.html,"""worlds deepest underwater cave discovered""",external,403
https://weziwezi.com/كيفية-المحافظة-على-الماء/,https://www.ts3a.com/bi2a/%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%85%D9%8A%D8%A7%D9%87-%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%8A%D8%A9/,https://www.ts3a.com/bi2a/المحافظة-على-المياه-المنزلية/,external,403
https://weziwezi.com/الفرق-بين-الشهب-والنيازك/,http://hubblesite.org/reference_desk/faq/answer.php.id=22&cat=solarsystem,1  ,external,404
https://weziwezi.com/التأثير_المغناطيسي_للتيار_الكهربائي,https://www.livescience.com/38059-magnetism.html,"""What Is Magnetism? | Magnetic Fields & Magnetic Force""",external,403
https://weziwezi.com/ما_أول_حيوان_صعد_إلى_القمر,https://www.universetoday.com/25427/what-was-the-first-animal-in-space/,"""Who Was the First Animal to go into Space?""",external,503
https://weziwezi.com/من_أول_إنسان_صعد_إلى_القمر,https://www.livescience.com/34205-neil-armstrong-become-the-first-man-on-the-moon.html,"""How Did Neil Armstrong Become the First Man on the Moon?""",external,403
https://weziwezi.com/أول_من_صعد_إلى_القمر,https://www.livescience.com/34205-neil-armstrong-become-the-first-man-on-the-moon.html,"""How Did Neil Armstrong Become the First Man on the Moon?""",external,403
https://weziwezi.com/شرح_الحث_الكهرومغناطيسي,https://www.universetoday.com/83261/electromagnetic-induction/,"""What is Electromagnetic Induction?""",external,503
https://weziwezi.com/تعريف_الزحف_الصحراوي,https://www.livescience.com/27692-deforestation.html,"""Deforestation: Facts, Causes & Effects""",external,403
https://weziwezi.com/تعريف_التعرية_الجليدية,https://www.coursehero.com/file/22334057/Glacier-Erosion/,""" Glacier Erosion - Glacier Erosion The process by which a...""",external,403
https://weziwezi.com/الجدول_الدوري_للعناصر_الكيميائية,https://www.livescience.com/28507-element-groups.html,"""How Are Elements Grouped in the Periodic Table""",external,403
https://weziwezi.com/طبيعة_الحياة_على_سطح_القمر,https://www.universetoday.com/41392/water-on-the-moon-what-does-it-mean/,"""Water on the Moon: What Does it Mean?""",external,503
https://weziwezi.com/عدد_ألوان_الطيف,https://www.livescience.com/32559-why-do-we-see-in-color.html,"""?How Do We See Color""",external,403
https://weziwezi.com/التوزيع_الإلكتروني_للذرات,https://www.coursehero.com/sg/introduction-to-biology/atoms/,"""Atoms""",external,403
https://weziwezi.com/كيف_أعرف_الذهب_الأصلي_من_المطلي,https://www.livescience.com/39187-facts-about-gold.html,"""Facts About Gold""",external,403
https://weziwezi.com/تعريف_عملية_تفتيت_الصخور,https://www.coursehero.com/file/12079303/ES-1010-Unit-I-Assessment/,"""ES 1010 Unit I Assessment""",external,403
https://weziwezi.com/التوزيع_الإلكتروني_للذرات,https://www.coursehero.com/sg/general-chemistry/electron-configurations/,"""Electron Configurations""",external,403
https://weziwezi.com/حجم_مجرة_درب_التبانة,https://www.universetoday.com/75691/how-big-is-the-milky-way/,"""How Big Is The Milky Way?""",external,503
https://weziwezi.com/أسماء_الصفائح_التكتونية,https://www.livescience.com/37706-what-is-plate-tectonics.html,"""What Is Plate Tectonics?""",external,403
https://weziwezi.com/تاريخ_الأزمنة_الجيولوجية,https://www.livescience.com/40352-cenozoic-era.html,"""Cenozoic Era""",external,403
https://weziwezi.com/حجم_مجرة_درب_التبانة,https://www.livescience.com/63847-facts-about-the-milky-way.html,"""11 Fascinating Facts About Our Milky Way Galaxy""",external,403
https://weziwezi.com/مبدأ_عمل_توربينات_توليد_الكهرباء,https://www.livescience.com/45192-how-do-wind-turbines-work.html,"""How Do Wind Turbines Work?""",external,403
https://weziwezi.com/تاريخ_الأزمنة_الجيولوجية,https://www.livescience.com/28219-holocene-epoch.html,"""Holocene Epoch: The Age of Man""",external,403
https://weziwezi.com/قانون_كيرشوف_للتيار,https://www.livescience.com/53889-electric-current.html,"""What Is Electric Current?""",external,403
https://weziwezi.com/مبدأ_عمل_توربينات_توليد_الكهرباء,https://www.livescience.com/3083-energy-debates-wind-farms.html,"""The Energy Debates: Wind Farms""",external,403
https://weziwezi.com/قوانين_المقاومة_الكهربائية,https://www.livescience.com/53875-resistors-capacitors-inductors.html,"""Electricity Basics: Resistance, Inductance and Capacitance""",external,403
https://weziwezi.com/التراكيب_الجيولوجية_في_صخور_القشرة_الأرضية,https://www.livescience.com/37052-types-of-faults.html,"""Fault Lines: Facts About Cracks in the Earth""",external,403
https://weziwezi.com/تعريف_كوكب_الأرض,https://www.livescience.com/19102-amazing-facts-earth.html,"""50 Interesting Facts About Earth""",external,403
https://weziwezi.com/مراحل_تشكل_الصخور_الرسوبية,https://www.universetoday.com/46594/how-are-rocks-formed/,"""How Are Rocks Formed?""",external,503
https://weziwezi.com/أول_رائد_فضاء_عربي_هبط_على_سطح_القمر,https://www.universetoday.com/49018/astronauts/,"""Astronauts""",external,503
https://weziwezi.com/نص_قانون_نيوتن_الثاني,https://www.livescience.com/46560-newton-second-law.html,"""Force, Mass & Acceleration: Newton's Second Law of Motion""",external,403
https://weziwezi.com/مبدأ_عمل_ألواح_الطاقة_الشمسية,https://www.livescience.com/41995-how-do-solar-panels-work.html,"""How Do Solar Panels Work?""",external,403
https://weziwezi.com/درجة_انصهار_النحاس,https://www.livescience.com/29377-copper.html,"""Facts About Copper""",external,403
https://weziwezi.com/آلية_عمل_محرك_الطائرة,https://www.livescience.com/13878-health-hazards-air-travel.html,"""5 Real Hazards of Air Travel""",external,403
https://weziwezi.com/أنواع_البحار,https://www.universetoday.com/61586/how-many-oceans-in-the-world/,"""How Many Oceans are there in the World?""",external,503
https://weziwezi.com/تجارب_كهربائية_بسيطة_للتعليم,https://www.livescience.com/20896-science-scientific-method.html,"""What Is Science?""",external,403
https://weziwezi.com/قانون_مندل_الثاني,https://www.livescience.com/7537-monk-peas-changed-world.html,"""Gregor Mendel: A Monk and His Peas""",external,403
https://weziwezi.com/طاقة_الثقب_الأسود,https://www.livescience.com/65357-messier-87-galaxy-image.html,"""Black Hole Spits Out High-Energy Jets at Near Light-Speed""",external,403
https://weziwezi.com/أسباب_ضعف_بطارية_السيارة_باستمرار,https://www.livescience.com/50657-how-batteries-work.html,"""How Do Batteries Work?""",external,403
https://weziwezi.com/قانون_مندل_الثاني,https://www.coursehero.com/sg/introduction-to-biology/inheritance-and-mendelian-genetics/,"""Inheritance and Mendelian Genetics""",external,403
https://weziwezi.com/قوانين_نيوتن_الثلاثة_للحركة,https://www.livescience.com/46558-laws-of-motion.html,"""Newton's Laws of Motion""",external,403
https://weziwezi.com/أشكال_التصحر,https://www.livescience.com/27692-deforestation.html,"""Deforestation: Facts, Causes & Effects""",external,403
https://weziwezi.com/حقائق_حول_مجرة_درب_التبانة,https://www.livescience.com/63847-facts-about-the-milky-way.html,""" 11Fascinating Facts About Our Milky Way Galaxy""",external,403
https://weziwezi.com/العصور_الجيولوجية_التي_مرت_بها_الأرض,https://www.livescience.com/54516-chart-of-geological-time-infographic.html,"""geological ages""",external,403
https://weziwezi.com/العناصر_الكيميائية_ورموزها,https://www.livescience.com/28507-element-groups.html,"""arrangement of chemical elements""",external,403
https://weziwezi.com/تعريف_العصور_الجيولوجية,https://www.livescience.com/25332-anthropocene-humans-geologic-era.html,"""?Have Humans Caused a New Geological Era""",external,403
https://weziwezi.com/بحث_عن_خصائص_الموجات,https://www.livescience.com/50399-radio-waves.html,"""What Are Radio Waves?""",external,403
https://weziwezi.com/تعريف_التحريض_الكهرومغناطيسي,https://www.livescience.com/38059-magnetism.html,"""What Is Magnetism? | Magnetic Fields & Magnetic Force""",external,403
https://weziwezi.com/علاقة_البراكين_بتكتونية_الصفائح,https://www.livescience.com/57833-scientists-drill-volcano-core-geothermal-energy.html,"""Magma Power: Scientists Drill into Volcano to Harness its Energy""",external,403
https://weziwezi.com/تعريف_التحريض_الكهرومغناطيسي,https://www.sciencedirect.com/topics/earth-and-planetary-sciences/magnetic-induction,"""Magnetic Induction""",external,403
https://weziwezi.com/معلومات_عن_كوكب_أورانوس,https://www.universetoday.com/18855/uranus/,"""The Planet Uranus""",external,503
https://weziwezi.com/الأبراج_وتواريخها_ومواقعها_الفلكية,https://www.livescience.com/4667-astrological-sign.html,"""Astrology: Why Your Zodiac Sign and Horoscope Are Wrong""",external,403
https://weziwezi.com/قوانين_نيوتن_الأول_والثاني_والثالث,https://www.livescience.com/46558-laws-of-motion.html,"""Newton's Laws of Motion""",external,403
https://weziwezi.com/قوانين_نيوتن_في_الحركة,https://www.livescience.com/46558-laws-of-motion.html,"""Newton's Laws of Motion """,external,403
https://weziwezi.com/من_هو_واضع_النظرية_النسبية,https://www.livescience.com/58245-theory-of-relativity-in-real-life.html,""" 8Ways You Can See Einstein's Theory of Relativity in Real Life""",external,403
https://weziwezi.com/سلبيات_الطاقة_الشمسية,https://www.coursehero.com/file/21778113/Pros-and-Cons-of-Solar-Energy/,"""Pros and Cons of Solar Energy""",external,403
https://weziwezi.com/ماذا_يطلق_على_انفصال_التربة_عن_الأرض,https://www.quora.com/search?q=soil,"""How is soil formed?""",external,429
